Index,dns_ip,cont_ip,my_ip,dns_iso,content_iso,me_iso,cnd_count_km,me_count_km,dns_as,cont_as,cont_hst,dns_loc,content_loc,me_loc
02.01,211.114.95.187,104.76.71.67,167.114.233.191,KR,US,FR,10947,5513,AS4766 Korea Telecom,AS20940 Akamai International B.V.,a0.muscache.com,"[37.5112, 126.9741]","[42.3626, -71.0843]","[50.6942, 3.1746]"
03.01,103.200.5.184,23.57.112.67,167.114.233.191,HK,NL,FR,9283,220,"AS38001 NewMedia Express Pte Ltd, Singapore Web Hosting","AS35994 Akamai Technologies, Inc.",a0.muscache.com,"[22.25, 114.167]","[52.35, 4.9167]","[50.6942, 3.1746]"
04.01,103.212.67.34,23.202.168.15,167.114.233.191,AU,US,FR,16238,5513,AS135292 Macquarie Media Limited,AS20940 Akamai International B.V.,a0.muscache.com,"[-33.8591, 151.2002]","[42.3626, -71.0843]","[50.6942, 3.1746]"
05.01,209.244.0.3,23.44.100.54,167.114.233.191,US,US,FR,2838,5513,"AS3356 Level 3 Communications, Inc.",AS20940 Akamai International B.V.,a0.muscache.com,"[39.7392, -104.9847]","[42.3626, -71.0843]","[50.6942, 3.1746]"
06.01,5.135.29.49,2.19.236.200,167.114.233.191,FR,EU,FR,469,541,AS16276 OVH SAS,"AS16625 Akamai Technologies, Inc.",a0.muscache.com,"[48.8582, 2.3387]","[47.0, 8.0]","[50.6942, 3.1746]"
07.01,91.239.100.100,92.123.44.54,167.114.233.191,DK,EU,FR,1008,541,AS198794 Thomas Steen Rasmussen,AS20940 Akamai International B.V.,a0.muscache.com,"[55.7123, 12.0564]","[47.0, 8.0]","[50.6942, 3.1746]"
08.01,84.200.69.80,151.101.113.254,167.114.233.191,DE,US,FR,9060,8837,AS31400 Accelerated IT Services GmbH,AS54113 Fastly,a0.muscache.com,"[51.2993, 9.491]","[37.7697, -122.3933]","[50.6942, 3.1746]"
09.01,64.6.64.6,151.101.61.254,167.114.233.191,US,US,FR,3889,8837,AS36632 VeriSign Global Registry Services,AS54113 Fastly,a0.muscache.com,"[38.9599, -77.3428]","[37.7697, -122.3933]","[50.6942, 3.1746]"
10.01,192.95.54.3,23.9.102.157,167.114.233.191,CA,US,FR,402,5513,AS16276 OVH SAS,"AS16625 Akamai Technologies, Inc.",a0.muscache.com,"[45.504, -73.5747]","[42.3626, -71.0843]","[50.6942, 3.1746]"
11.01,77.88.8.8,104.122.240.32,167.114.233.191,RU,NL,FR,1765,220,AS13238 YANDEX LLC,AS1299 Telia Company AB,a0.muscache.com,"[59.8944, 30.2642]","[52.35, 4.9167]","[50.6942, 3.1746]"
12.01,208.67.222.222,23.34.198.157,167.114.233.191,US,US,FR,4329,5513,"AS36692 OpenDNS, LLC",AS577 Bell Canada,a0.muscache.com,"[37.7697, -122.3933]","[42.3626, -71.0843]","[50.6942, 3.1746]"
13.01,199.85.126.10,151.101.133.254,167.114.233.191,US,US,FR,63,8837,"AS12008 NeuStar, Inc.",AS54113 Fastly,a0.muscache.com,"[37.312, -121.966]","[37.7697, -122.3933]","[50.6942, 3.1746]"
14.01,8.8.8.8,151.101.1.254,167.114.233.191,US,US,FR,50,8837,AS15169 Google Inc.,AS54113 Fastly,a0.muscache.com,"[37.386, -122.084]","[37.7697, -122.3933]","[50.6942, 3.1746]"
15.01,139.5.35.58,104.116.6.46,167.114.233.191,IN,US,FR,11081,5513,AS134785 PRESTIGE NETWORK LIMITED,AS3462 Data Communication Business Group,a0.muscache.com,"[31.6331, 74.8656]","[42.3626, -71.0843]","[50.6942, 3.1746]"
17.01,216.146.35.35,2.17.148.52,167.114.233.191,US,EU,FR,5987,541,"AS33517 Dynamic Network Services, Inc.",AS20940 Akamai International B.V.,a0.muscache.com,"[42.9885, -71.4652]","[47.0, 8.0]","[50.6942, 3.1746]"
18.01,109.69.8.51,92.122.46.68,167.114.233.191,ES,EU,FR,1129,541,"AS49835 Fundacio Privada per a la Xarxa Lliure, Oberta i Neutral, guifi.net",AS20940 Akamai International B.V.,a0.muscache.com,"[38.9852, -0.557]","[47.0, 8.0]","[50.6942, 3.1746]"
20.01,198.101.242.72,104.72.46.121,167.114.233.191,US,US,FR,2022,5513,AS33070 Rackspace Hosting,"AS16625 Akamai Technologies, Inc.",a0.muscache.com,"[25.7806, -80.1826]","[42.3626, -71.0843]","[50.6942, 3.1746]"
22.01,88.59.65.19,104.106.100.123,167.114.233.191,IT,NL,FR,1154,220,AS3269 Telecom Italia S.p.a.,AS3269 Telecom Italia S.p.a.,a0.muscache.com,"[43.1479, 12.1097]","[52.35, 4.9167]","[50.6942, 3.1746]"
24.01,74.82.42.42,151.101.17.254,167.114.233.191,US,US,FR,45,8837,"AS6939 Hurricane Electric, Inc.",AS54113 Fastly,a0.muscache.com,"[37.5497, -121.9621]","[37.7697, -122.3933]","[50.6942, 3.1746]"
25.01,185.7.66.70,92.122.202.17,167.114.233.191,FR,DE,FR,577,446,AS199660 CLOUDATA SAS,"AS16625 Akamai Technologies, Inc.",a0.muscache.com,"[48.8582, 2.3387]","[51.2993, 9.491]","[50.6942, 3.1746]"
