82.177.141.1,Częstochowa,PL,"[50.7965, 19.1241]",AS20804 Exatel S.A.
81.90.245.38,Klanovice,CZ,"[50.1, 14.6667]","AS39761 ABAK, Ltd."
213.147.102.53,Dubrovnik Ii,HR,"[42.6597, 18.0894]",AS35549 Metronet telekomunikacije d.d.
92.222.202.244,Paris,FR,"[48.8628, 2.3292]",AS16276 OVH SAS
195.184.108.205,Copenhagen,DK,"[55.6667, 12.5833]",AS9167 Telia Company AB
89.45.190.154,Bucharest,RO,"[44.4333, 26.1]",AS35638 2K Telecom SRL
85.206.149.124,,LT,"[56.0, 24.0]","AS43811 Telia Lietuva, AB"
212.227.252.78,,DE,"[51.2993, 9.491]",AS8560 1&1 Internet SE
83.218.184.178,Biberwier,AT,"[47.3833, 10.9]",AS31543 myNet GmbH
213.127.215.235,'t Haantje,NL,"[53.2333, 5.7833]",AS6830 Liberty Global Operations B.V.
86.43.81.177,Dublin,IE,"[53.3389, -6.2595]",AS5466 Eircom Limited
195.24.77.79,,LU,"[49.75, 6.1667]",AS5577 root SA
213.246.246.50,Merksem,BE,"[51.25, 4.45]",AS8220 COLT Technology Services Group Limited
157.203.53.125,,GB,"[51.4964, -0.1224]",AS21369 Atos IT Services UK Ltd
198.105.121.2,Stockholm,SE,"[59.3333, 18.05]",AS42708 Portlane AB
46.238.50.201,,BG,"[42.7, 23.3333]",AS35141 MOBILTEL EAD
46.107.30.182,Tatabánya,HU,"[47.5667, 18.4167]",AS5483 Magyar Telekom plc.
80.81.115.98,Mutxamel,ES,"[38.4259, -0.4569]",AS16206 Neutra Network Services S.L.
194.249.174.162,,SI,"[46.0, 15.0]",AS2107 ARNES
83.143.223.246,,FI,"[60.1708, 24.9375]",AS35382 Oy Capnova Ltd
81.21.249.181,Kesklinn,EE,"[59.4369, 24.7467]",AS39301 Tele2 Sverige AB
82.102.93.145,Nicosia,CY,"[35.1667, 33.3667]",AS35432 Cablenet Communication Systems Ltd
80.232.248.244,Riga,LV,"[56.95, 24.1]",AS12578 SIA Lattelekom
195.23.156.168,Arcozelo,PT,"[41.0533, -8.6433]","AS2860 NOS COMUNICACOES, S.A."
195.158.110.86,,MT,"[35.8333, 14.5833]",AS15735 GO p.l.c.
194.160.84.37,,SK,"[48.6667, 19.5]",AS2607 Zdruzenie pouzivatelov Slovenskej akademickej datovej siete
109.68.24.236,,IT,"[43.1479, 12.1097]",AS49733 Ditech S.p.a.
