186.179.241.146,Zorg En Hoop,SR,"[5.8167, -55.2]",AS27775 Telecommunicationcompany Suriname - TeleSur
177.0.50.9,Goiânia,BR,"[-16.701, -49.2668]",AS8167 Brasil Telecom S/A - Filial Distrito Federal
190.108.199.1,,GY,"[5.0, -59.0]",AS52253 E-Networks Inc.
200.89.96.20,Palmar de Varela,CO,"[10.7405, -74.7544]",AS8163 Metrotel SA ESP
190.128.222.130,,PY,"[-23.0, -58.0]",AS23201 Telecel S.A.
201.217.138.139,,UY,"[-33.0, -56.0]",AS6057 Administracion Nacional de Telecomunicaciones
186.47.46.254,,EC,"[-2.0, -77.5]",AS14420 CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP
186.167.16.187,,VE,"[8.0, -66.0]",AS27717 Corporacion Digitel C.A.
200.29.255.90,,AR,"[-34.6033, -58.3817]",AS27997 Coop. Ltda de Electricidad y Servicios Anexos de Huinca Renancó
200.16.0.38,,PE,"[-12.0433, -77.0283]",AS6147 Telefonica del Peru S.A.A.
190.129.10.18,,BO,"[-17.0, -65.0]",AS6568 Entel S.A. - EntelNet
191.101.31.22,Haarlem,NL,"[52.3808, 4.6368]",AS35017 Swiftway Sp. z o.o.
82.177.141.1,Częstochowa,PL,"[50.7965, 19.1241]",AS20804 Exatel S.A.
81.90.245.38,Klanovice,CZ,"[50.1, 14.6667]","AS39761 ABAK, Ltd."
213.147.102.53,Dubrovnik Ii,HR,"[42.6597, 18.0894]",AS35549 Metronet telekomunikacije d.d.
92.222.202.244,Paris,FR,"[48.8628, 2.3292]",AS16276 OVH SAS
195.184.108.205,Copenhagen,DK,"[55.6667, 12.5833]",AS9167 Telia Company AB
89.45.190.154,Bucharest,RO,"[44.4333, 26.1]",AS35638 2K Telecom SRL
85.206.149.124,,LT,"[56.0, 24.0]","AS43811 Telia Lietuva, AB"
212.227.252.78,,DE,"[51.2993, 9.491]",AS8560 1&1 Internet SE
83.218.184.178,Biberwier,AT,"[47.3833, 10.9]",AS31543 myNet GmbH
213.127.215.235,'t Haantje,NL,"[53.2333, 5.7833]",AS6830 Liberty Global Operations B.V.
86.43.81.177,Dublin,IE,"[53.3389, -6.2595]",AS5466 Eircom Limited
195.24.77.79,,LU,"[49.75, 6.1667]",AS5577 root SA
213.246.246.50,Merksem,BE,"[51.25, 4.45]",AS8220 COLT Technology Services Group Limited
157.203.53.125,,GB,"[51.4964, -0.1224]",AS21369 Atos IT Services UK Ltd
198.105.121.2,Stockholm,SE,"[59.3333, 18.05]",AS42708 Portlane AB
46.238.50.201,,BG,"[42.7, 23.3333]",AS35141 MOBILTEL EAD
46.107.30.182,Tatabánya,HU,"[47.5667, 18.4167]",AS5483 Magyar Telekom plc.
80.81.115.98,Mutxamel,ES,"[38.4259, -0.4569]",AS16206 Neutra Network Services S.L.
194.249.174.162,,SI,"[46.0, 15.0]",AS2107 ARNES
83.143.223.246,,FI,"[60.1708, 24.9375]",AS35382 Oy Capnova Ltd
81.21.249.181,Kesklinn,EE,"[59.4369, 24.7467]",AS39301 Tele2 Sverige AB
82.102.93.145,Nicosia,CY,"[35.1667, 33.3667]",AS35432 Cablenet Communication Systems Ltd
80.232.248.244,Riga,LV,"[56.95, 24.1]",AS12578 SIA Lattelekom
195.23.156.168,Arcozelo,PT,"[41.0533, -8.6433]","AS2860 NOS COMUNICACOES, S.A."
195.158.110.86,,MT,"[35.8333, 14.5833]",AS15735 GO p.l.c.
194.160.84.37,,SK,"[48.6667, 19.5]",AS2607 Zdruzenie pouzivatelov Slovenskej akademickej datovej siete
109.68.24.236,,IT,"[43.1479, 12.1097]",AS49733 Ditech S.p.a.
148.243.155.160,Mexico City,MX,"[19.4357, -99.1439]","AS6503 Axtel, S.A.B. de C.V."
67.223.151.160,Saint-Hyacinthe,CA,"[45.5971, -72.9366]",AS15321 Groupe Maskatel
69.70.146.150,Saint-Leonard,CA,"[45.5966, -73.5928]",AS5769 Videotron Telecom Ltee
187.141.182.119,San José Del Cabo,MX,"[23.0589, -109.6977]",AS8151 Uninet S.A. de C.V.
24.212.47.86,Val-d'or,CA,"[48.1167, -77.7667]",AS35911 Telebec
129.71.254.12,Morgantown,US,"[39.6456, -79.9433]",AS7925 West Virginia Network for Educational Telecomputing
68.169.51.217,Norcross,US,"[33.9681, -84.2304]","AS20141 Quality Technology Services, LLC."
187.130.63.137,Mexico City,MX,"[19.4357, -99.1439]",AS8151 Uninet S.A. de C.V.
206.225.177.12,Houston,US,"[29.7633, -95.3633]",AS30049 Metropolitan Transit Authority of Harris County
70.28.59.78,Kitchener,CA,"[43.5569, -80.4414]",AS577 Bell Canada
24.37.66.18,Saint-Jerome,CA,"[45.7987, -74.0727]",AS5769 Videotron Telecom Ltee
187.217.225.180,Guadalajara,MX,"[20.6667, -103.3333]",AS8151 Uninet S.A. de C.V.
38.99.139.34,Gomel,BY,"[52.4054, 30.7591]",AS12212 Ravand Cybertech Inc.
96.53.102.66,Nisku,CA,"[53.3333, -113.533]",AS6327 Shaw Communications Inc.
200.23.132.8,,MX,"[19.4371, -99.0111]",AS8151 Uninet S.A. de C.V.
148.205.40.11,,MX,"[19.4371, -99.0111]",AS21520 Instituto Tecnologico Autonomo de Mexico(ITAM)
201.117.254.245,,MX,"[19.4371, -99.0111]",AS8151 Uninet S.A. de C.V.
156.154.71.19,Herndon,US,"[38.9266, -77.3936]","AS12008 NeuStar, Inc."
67.231.25.10,Toronto,CA,"[43.623, -79.3936]",AS54643 Idigital Internet Inc.
50.121.219.250,Clarksburg,US,"[39.2807, -80.3445]","AS5650 Frontier Communications of America, Inc."
201.144.217.53,Cancún,MX,"[21.1833, -86.8167]",AS8151 Uninet S.A. de C.V.
65.111.169.166,Fort Lauderdale,US,"[26.1209, -80.1273]",AS15083 Infolink Global Corporation
206.10.30.101,Plymouth,US,"[45.0059, -93.4305]",AS21730 Halstad Telephone Company
208.76.110.97,Toronto,CA,"[43.623, -79.3936]",AS40028 1651884 Ontario Inc.
199.96.51.1,Dorr,US,"[42.7216, -85.793]","AS22861 Camp Communication Services, INC"
200.57.7.61,,MX,"[19.4371, -99.0111]","AS18734 Operbes, S.A. de C.V."
64.40.249.225,Woodbridge,CA,"[43.8566, -79.6485]",AS32453 ICA Canada On-Line Inc.
189.201.242.124,Tijuana,MX,"[32.5333, -117.0167]",AS32098 Transtelco Inc
156.154.71.12,Herndon,US,"[38.9266, -77.3936]","AS12008 NeuStar, Inc."
192.197.214.100,Vancouver,CA,"[49.2788, -123.1139]",AS13768 Cogeco Peer 1
